Description,Alternate_Description,Minimum Charge,,Day Charge,Manufacturer,,
"Roller, Linoleum, Manual",,18,,18,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Roller%2C+Linoleum%2C+Manual&oq=Roller%2C+Linoleum%2C+Manual&gs_l=psy-ab.3...19181.19576.0.19804.2.2.0.0.0.0.71.134.2.2.0....0...1.1.64.psy-ab..0.0.0.0.BU4E8WFFcWQ&safe=active&ssui=on#imgrc=pijPxUZV_1XR7M:,
"Stripper, Floor Air, Compressor Not Inlcuded",,30,,30,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Stripper%2C+Floor+Air%2C++&oq=Stripper%2C+Floor+Air%2C++&gs_l=psy-ab.3...7341.7341.0.11562.1.1.0.0.0.0.68.68.1.1.0....0...1.1.64.psy-ab..0.0.0.Wv9Gbh8JbWQ&safe=active&ssui=on#imgrc=nValqq-JbvT4gM:,
"Stripper, Floor, Hand",,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Stripper%2C+Floor%2C+Hand&oq=Stripper%2C+Floor%2C+Hand&gs_l=psy-ab.3...19736.20096.0.20429.2.2.0.0.0.0.93.149.2.2.0....0...1.1.64.psy-ab..0.0.0.0.1yxnlZ3UMfk&safe=active&ssui=on#imgrc=5uJS3jWebWvtyM:,
"Stripper, Floor, Electric ",tile scraper,36,,47,Edco,https://www.google.com/search?biw=1920&bih=950&tbm=isch&sa=1&q=tile+shark&oq=tile+shark&gs_l=psy-ab.3..0j0i24k1l2.40142.45858.0.47427.16.14.2.0.0.0.82.931.14.14.0....0...1.1.64.psy-ab..0.15.876.0..0i67k1j0i8i30k1.bHjMlpzaup0&safe=active&ssui=on#imgrc=DAvhiaeW0ZWagM:,
"Floor Nailer, Hardwood,  Manual",,25,,25,https://www.google.com/search?q=essex+silverline+polisher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjY0Of0iPnVAhUjsVQKHc8IAMYQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=q5LqXIcGJyng4M:,,
"Floor Nailer, Hardwood,  Air, Compresson Not Included",,33,,33,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Floor+Nailer%2C+Hardwood%2C++air&oq=Floor+Nailer%2C+Hardwood%2C++air&gs_l=psy-ab.3...46087.46876.0.47260.3.3.0.0.0.0.114.233.2j1.3.0....0...1.1.64.psy-ab..0.0.0.qosrt9VPcxw&safe=active&ssui=on#imgdii=a8d8Fsk2c7-sWM:&imgrc=PucSNyyOdrF37M:,
"Vacuum, Wet/Dry, Canister, Electric",,25,,30,MTIM,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Vacuum%2C+Wet%2FDry%2C+Canister%2C+Electric+MiTm&oq=Vacuum%2C+Wet%2FDry%2C+Canister%2C+Electric+MiTm&gs_l=psy-ab.3...10743.13492.0.14041.5.5.0.0.0.0.79.345.5.5.0....0...1.1.64.psy-ab..0.0.0.wds2Nwat7sU&safe=active&ssui=on#imgrc=inrrP9SDzNN4FM:,
"Dehumidifer, Electric",,48,,48,Aqua-Dri,https://www.google.com/search?q=essex+silverline+polisher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjY0Of0iPnVAhUjsVQKHc8IAMYQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=cCPpk9ETZQUspM:,
"Air Scrubber, Hepa Filter, Electric", ,52,,52,Dri Eez,https://www.google.com/search?q=air+scrubber+Hepa&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiW-MrLi_nVAhUW5GMKHbPTB5oQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=l9vDbawnUFOpwM:,
"ozone generator, electric",,35,,60,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=ozone+generator%2C+electric&oq=ozone+generator%2C+electric&gs_l=psy-ab.3...43715.44639.0.45172.2.2.0.0.0.0.86.147.2.2.0....0...1.1.64.psy-ab..0.0.0.0.QtKTggA31p4&safe=active&ssui=on#imgrc=aMDx-SFvE1qqDM:,
"Ventilation System, With one section of Tubing, Electric", ,50,,50,Vortex,https://www.google.com/search?q=vortex+ventilation+fans&source=lnms&tbm=isch&sa=X&ved=0ahUKEwion4TYi_nVAhVDKGMKHX2OBpcQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=n4ZP-d9ub79hrM:,
,,,,,,https://www.google.com/search?biw=1920&bih=950&tbm=isch&sa=1&q=vortex+ventilation+fans+with+ducting&oq=vortex+ventilation+fans+with+ducting&gs_l=psy-ab.3...24494.27431.0.27758.13.13.0.0.0.0.85.858.13.13.0....0...1.1.64.psy-ab..0.0.0.u8foEicKJA0&safe=active&ssui=on#imgrc=id6WeXJCPn1SmM:,
"Floor Maintenance, 20"", Electric", ,85,,85, ,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Floor+Maintenance%2C+20%22%2C+Electric&oq=Floor+Maintenance%2C+20%22%2C+Electric&gs_l=psy-ab.3...30655.31204.0.31488.2.2.0.0.0.0.68.132.2.2.0....0...1.1.64.psy-ab..0.0.0.0.ytme4aNQ9-8&safe=active&ssui=on#imgrc=vRS_ed0tSAiWSM:,
Heaters,,,,,,,
"Fan, Gas", ,32,,32,Ram Fan,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Fan%2C+Gas+Ram+Fan&oq=Fan%2C+Gas+Ram+Fan&gs_l=psy-ab.3...15685.20630.0.20911.10.10.0.0.0.0.85.698.10.10.0....0...1.1.64.psy-ab..0.4.317.0..0j0i30k1j0i8i30k1.8R5At3f5-Qk&safe=active&ssui=on#imgrc=g-rDUoH_X32fOM:,
"heater 110v 1500, Propane",,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=heater+110v+1500%2C+Propane&oq=heater+110v+1500%2C+Propane&gs_l=psy-ab.3...23505.23839.0.24445.2.2.0.0.0.0.204.261.1j0j1.2.0....0...1.1.64.psy-ab..0.0.0.0.SghHJ7vo4Ig&safe=active&ssui=on#imgrc=eJ6GErjXEK5X9M:,
"heater 20'000 btu, propane",,15,,15,,,
"heater 35'000 btu, propane",,20,,20,,,
"heater70,0000 BTU, Kerosene", ,35,,35,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=heater70%2C0000+BTU%2C+Kerosene&oq=heater70%2C0000+BTU%2C+Kerosene&gs_l=psy-ab.3...51852.52220.0.52561.2.2.0.0.0.0.152.275.0j2.2.0....0...1.1.64.psy-ab..0.0.0.0.WNlu_aSbVgk&safe=active&ssui=on#imgrc=Eg9IMy4cAeR0xM:,
"heater 60'000 btu, propane",,39,,39,,,
"heater 170,000 prop.",,48,,48,,,
"heater 150'000 btu, propane",,27.5,,27.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=heater+20%27000+btu%2C+propane+miTim&oq=heater+20%27000+btu%2C+propane+miTim&gs_l=psy-ab.3...2142.5164.0.5576.8.7.1.0.0.0.91.388.7.7.0....0...1.1.64.psy-ab..0.0.0.QxOte1Tg49E&safe=active&ssui=on#imgrc=mfpW2PZjArw6_M:,
"fan, 30"" pedestal, electric", ,15,,15,,"https://www.google.com/search?tbm=isch&q=fan,+30%22+pedestal,+electric&spell=1&sa=X&ved=0ahUKEwjvhIXLjYXWAhUN9GMKHWXOBWQQvwUIIigA&biw=1920&bih=901&dpr=1&safe=active&ssui=on#imgrc=t7XKsef1VI3PfM:",
"box fan 36"", electric",,15,,15,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=box+fan+36%22%2C+electric&oq=box+fan+36%22%2C+electric&gs_l=psy-ab.3...27335.27805.0.28026.2.2.0.0.0.0.97.165.2.2.0....0...1.1.64.psy-ab..0.0.0.0.AdvtgVMTUqA&safe=active&ssui=on#imgrc=TBj5dKYTPxEtbM:,
"box fan 42"", Electric",,15,,15,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=box+fan+42%22%2C+Electric&oq=box+fan+42%22%2C+Electric&gs_l=psy-ab.3...41295.41639.0.41915.2.2.0.0.0.0.64.119.2.2.0....0...1.1.64.psy-ab..0.0.0.0.mrzvkrg1QMI&safe=active&ssui=on#imgrc=TXOx1vbcKqkh0M:,
"Weedburner, Propane operated", ,12,,12,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Weedburner%2C+Propane+operated&oq=Weedburner%2C+Propane+operated&gs_l=psy-ab.3...87872.89352.0.89835.2.2.0.0.0.0.135.198.1j1.2.0....0...1.1.64.psy-ab..0.0.0.0.FBBkdpZ2DfE&safe=active&ssui=on#imgrc=B2ay2ypoT3vRrM:,
"Mr. heater, Propane", ,22,,22,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Mr.+heater%2C+Propane&oq=Mr.+heater%2C+Propane&gs_l=psy-ab.3..0j0i8i30k1l3.14972.16250.0.16617.2.2.0.0.0.0.131.221.1j1.2.0....0...1.1.64.psy-ab..0.1.89.0.rXkCn89VbwY&safe=active&ssui=on#imgrc=4OYYxk0LGx6vNM:,
"Canopy heater 85k BTU , Propane",,48.5,,48.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Canopy+heater+85k+BTU+%2C+Propane&oq=Canopy+heater+85k+BTU+%2C+Propane&gs_l=psy-ab.3...15915.19322.0.19752.2.2.0.0.0.0.76.146.2.2.0....0...1.1.64.psy-ab..0.0.0.0.KoNek-b9SEE&safe=active&ssui=on#imgrc=b05fdQamlbCiLM:,
"Canopy heater 85k BTU With Ducting, Propane",,79,,79,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Canopy+heater+85k+BTU+With+Ducting%2C+Propane&oq=Canopy+heater+85k+BTU+With+Ducting%2C+Propane&gs_l=psy-ab.3...39495.63007.0.64437.67.15.0.0.0.0.185.462.4j1.5.0....0...1.1.64.psy-ab..62.1.76.0..0.gw0tCdv0N6s&safe=active&ssui=on#imgrc=1lMlSENgSYP4-M:,
"Canopy heater 175k BTU, Propane",,78,,78,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Canopy+heater+85k+BTU+With+Ducting%2C+Propane&oq=Canopy+heater+85k+BTU+With+Ducting%2C+Propane&gs_l=psy-ab.3...39495.63007.0.64437.67.15.0.0.0.0.185.462.4j1.5.0....0...1.1.64.psy-ab..62.1.76.0..0.gw0tCdv0N6s&safe=active&ssui=on#imgdii=H5pGfsHEX_rG2M:&imgrc=1lMlSENgSYP4-M:,
"Canopy heater 175k BTU with Ducting, Propane",,108,,108,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Canopy+heater+85k+BTU+With+Ducting%2C+Propane&oq=Canopy+heater+85k+BTU+With+Ducting%2C+Propane&gs_l=psy-ab.3...39495.63007.0.64437.67.15.0.0.0.0.185.462.4j1.5.0....0...1.1.64.psy-ab..62.1.76.0..0.gw0tCdv0N6s&safe=active&ssui=on#imgrc=1lMlSENgSYP4-M:,
propane 5gal,,5,,5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=propane+5gal&oq=propane+5gal&gs_l=psy-ab.3..0i8i13i30k1l2.30472.31588.0.32134.2.2.0.0.0.0.95.151.2.2.0....0...1.1.64.psy-ab..0.1.94.0.2Q5tZKGLz1o&safe=active&ssui=on#imgrc=ZIC9tevZWa5qQM:,
propane 7gal,,6,,6,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=propane+7gal&oq=propane+7gal&gs_l=psy-ab.3..0i8i13i30k1.17524.17907.0.18209.2.2.0.0.0.0.121.205.1j1.2.0....0...1.1.64.psy-ab..0.2.204...0i8i30k1.UkDJCIXpTNI&safe=active&ssui=on#imgrc=2jIvmMEbhXKwwM:,
propane 10gal,,7,,7,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=propane+10+gal&oq=propane+10+gal&gs_l=psy-ab.3..0i8i30k1.10562.11536.0.12410.4.4.0.0.0.0.90.333.4.4.0....0...1.1.64.psy-ab..0.4.332...0i8i7i30k1j0i8i13i30k1.UwW6kVfKWSQ&safe=active&ssui=on#imgrc=b_EYeuQ8ceHjVM:,
propane 25gal,,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=propane+25+gal&oq=propane+25+gal&gs_l=psy-ab.3..0i8i7i30k1j0i8i30k1.20150.20368.0.21073.2.2.0.0.0.0.131.261.0j2.2.0....0...1.1.64.psy-ab..0.2.260.aWXiNC_ZYqo&safe=active&ssui=on#imgrc=08XuViWcrxK2HM:,
"Hoist, Chain, 1/2 ton, Manual", ,14,,22,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Hoist%2C+Chain%2C+1%2F2+ton%2C+Manual&oq=Hoist%2C+Chain%2C+1%2F2+ton%2C+Manual&gs_l=psy-ab.3...14600.14933.0.15198.2.2.0.0.0.0.70.134.2.2.0....0...1.1.64.psy-ab..0.0.0.0.XeJKZ5PfyFs&safe=active&ssui=on#imgrc=9hd-wzQZb4rSRM:,
"Hoist, Chain lever 3 ton",,14,,22,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Hoist%2C+Chain+lever+3+ton&oq=Hoist%2C+Chain+lever+3+ton&gs_l=psy-ab.3...37684.38353.0.38639.2.2.0.0.0.0.73.146.2.2.0....0...1.1.64.psy-ab..0.0.0.0.1yRrLrsiSOw&safe=active&ssui=on#imgrc=kMmoHV_egbbnvM:,
live animal trap,,12,,0,Have-a-heart,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=live+animal+trap&oq=live+animal+trap&gs_l=psy-ab.3..0l2j0i5i30k1l2.19427.19744.0.20166.2.2.0.0.0.0.172.243.1j1.2.0....0...1.1.64.psy-ab..0.1.171.0.3Ax_s2Tqwl8&safe=active&ssui=on#imgrc=HOUuGuqZBqDfxM:,
"metal detector, Battery Powered",,15,,25,Treasure Hunter,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=metal+detector%2C+Battery+Powered+treasure+hunter&oq=metal+detector%2C+Battery+Powered+treasure+hunter&gs_l=psy-ab.3...1302.5372.0.5529.18.17.1.0.0.0.146.1467.13j4.17.0....0...1.1.64.psy-ab..0.0.0.XyYsiqwn-l8&safe=active&ssui=on#imgrc=QPJUqUDe-QSsgM:,
Jacks,,,,,,,
"jack bottle, 5-8t",,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack+bottle%2C+5-8t&oq=jack+bottle%2C+5-8t&gs_l=psy-ab.3...33765.34660.0.35241.2.2.0.0.0.0.80.143.2.2.0....0...1.1.64.psy-ab..0.0.0.0.wLMtwb_SN1w&safe=active&ssui=on#imgrc=yW3r08ewAH3kcM:,
"jack, 15t",,15,,15,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+15t&oq=jack%2C+15t&gs_l=psy-ab.3...25782.55663.0.56811.4.4.0.0.0.0.275.643.1j2j1.4.0....0...1.1.64.psy-ab..0.0.0.0.7R0RKXYwwmM&safe=active&ssui=on#imgrc=A_0hhBs9oBGYVM:,
"jack, 20t",,17.5,,17.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+20t&oq=jack%2C+20t&gs_l=psy-ab.3...80129.80538.0.80791.2.2.0.0.0.0.74.145.2.2.0....0...1.1.64.psy-ab..0.0.0.0.A44RwZn22KQ&safe=active&ssui=on#imgrc=yuK6H9Cpxr1n6M:,
"jack, toe lift, 42""",,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+toe+lift%2C+42%22&oq=jack%2C+toe+lift%2C+42%22&gs_l=psy-ab.3...12286.14769.0.15646.2.2.0.0.0.0.70.139.2.2.0....0...1.1.64.psy-ab..0.0.0.0.K8wJEtx-xdo&safe=active&ssui=on#imgrc=gOgQZIZ32H7PhM:,
"jack, house, screw",,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+house%2C+screw&oq=jack%2C+house%2C+screw&gs_l=psy-ab.3..0i8i30k1.48784.49820.0.50188.2.2.0.0.0.0.199.277.1j1.2.0....0...1.1.64.psy-ab..0.1.78.0.LJtDfla0oBs&safe=active&ssui=on#imgrc=jApM40rp8px5nM:,
"Jack, shoring",,12,,12,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=shoring+jack&oq=shoring+jack&gs_l=psy-ab.3..0l4.54674.56886.0.57762.12.12.0.0.0.0.85.877.12.12.0....0...1.1.64.psy-ab..0.12.866...0i67k1.WrYhA5B8xpk&safe=active&ssui=on#imgrc=OE8Zc6a2iSsPoM:,
"jack, joist, screw",,7.5,,7.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Joist+screw+jack+Jet&oq=Joist+screw+jack+Jet&gs_l=psy-ab.3...19929.21684.0.21892.6.5.1.0.0.0.250.527.4j0j1.5.0....0...1.1.64.psy-ab..0.0.0.c-bA_DkBWRs&safe=active&ssui=on#imgrc=VaC80HpMDzCdDM:,
"jack, pallet",Pallet,25,,35,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=pallet+jack&oq=Palle&gs_l=psy-ab.3.0.0i67k1j0l3.12171.13114.0.14426.5.5.0.0.0.0.156.623.0j5.5.0....0...1.1.64.psy-ab..0.5.622.NIiFl7Kc3SE&safe=active&ssui=on#imgrc=3oo576dJ9B21MM:,
"jack, panel lift sheetrock/plywood",,30,,30,Haulette,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+panel+lift+sheetrock%2Fplywood&oq=jack%2C+panel+lift+sheetrock%2Fplywood&gs_l=psy-ab.3...29404.29756.0.30906.2.2.0.0.0.0.155.282.0j2.2.0....0...1.1.64.psy-ab..0.0.0.0.IKPD9PqCEIg&safe=active&ssui=on#imgrc=Cor0zMKUvySC9M:,
"jack, roof",,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+roof&oq=jack%2C+roof&gs_l=psy-ab.3..0l4.29287.29591.0.29845.2.2.0.0.0.0.183.314.0j2.2.0....0...1.1.64.psy-ab..0.1.183.0.H0dTaB5zI2w&safe=active&ssui=on#imgrc=Hh1vn6jqhdZdvM:,
"Puller, Fence Post", ,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Puller%2C+Fence+Post&oq=Puller%2C+Fence+Post&gs_l=psy-ab.3..0i8i30k1l4.98476.98476.0.99373.1.1.0.0.0.0.91.91.1.1.0....0...1.1.64.psy-ab..0.1.91.S3bLrUrKUdI&safe=active&ssui=on#imgrc=hgfxWE5RCHAwfM:,
transmisson jack,,21,,27,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=transmission+jack&oq=transmission+jack&gs_l=psy-ab.3..0l4.16799.22656.0.22932.21.19.2.0.0.0.233.1693.15j3j1.19.0....0...1.1.64.psy-ab..0.21.1696...0i10i24k1j0i13k1.M7QvrplxgNo&safe=active&ssui=on#imgrc=NHODLrx2ytvA8M:,
"Jack, Extra Large Transmission",,39,,52,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Large+transmission+jack&oq=Large+transmission+jack&gs_l=psy-ab.3..0i24k1.17779.19068.0.19332.6.6.0.0.0.0.97.503.6.6.0....0...1.1.64.psy-ab..0.3.242...0i13k1.wBgo--uVuY8&safe=active&ssui=on#imgrc=76m6GRyRIXtpWM:,
Lawn & Garden,,2 Hour,4 Hour,Day,,Painting could go in here also but it also could be part of the Aerial lift section ,
"Tiller, Cultivator, Gas Powered ",,27,39,52,Mantis,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Tiller%2C+Cultivator%2C+Gas+Powered+&oq=Tiller%2C+Cultivator%2C+Gas+Powered+&gs_l=psy-ab.3...42915.43808.0.44112.2.2.0.0.0.0.66.131.2.2.0....0...1.1.64.psy-ab..0.0.0.0.-W8qfM18jFM&safe=active&ssui=on#imgrc=lIwcIW48TRaqhM:,
"Tiller, 5.5hp, Mid Tine, Gas",,36,49,64,Merry Tiller,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Tiller%2C+5.5hp%2C+Mid+Tine%2C+Gas&oq=Tiller%2C+5.5hp%2C+Mid+Tine%2C+Gas&gs_l=psy-ab.3...12491.13117.0.13581.2.2.0.0.0.0.67.132.2.2.0....0...1.1.64.psy-ab..0.0.0.0.92OJylJdue4&safe=active&ssui=on#imgrc=oE5cGJfe8BeanM:,
"Tiller, 9Hp, Rear Tine, Gas", ,54,73,98,Barreto,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Tiller%2C+9Hp%2C+Rear+Tine%2C+Gas&oq=Tiller%2C+9Hp%2C+Rear+Tine%2C+Gas&gs_l=psy-ab.3...12337.13283.0.13516.3.3.0.0.0.0.79.214.3.3.0....0...1.1.64.psy-ab..0.1.79.0..0.5vPBtdrd3fw&safe=active&ssui=on#imgrc=9A7gEbek_aFfGM:,
"Thatcher, Gas",,39,54,73,Classen,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Thatcher%2C+Gas&oq=Thatcher%2C+Gas&gs_l=psy-ab.3...14072.14919.0.15478.2.2.0.0.0.0.69.132.2.2.0....0...1.1.64.psy-ab..0.0.0.0.RKRv9cpcbtQ&safe=active&ssui=on#imgrc=GQBw98tJ2Zp6JM:,
"Thatcher, Self Propelled, Gas",,46,62,83,Classen,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Thatcher%2C+Self+Propelled%2C+Gas+Classen&oq=Thatcher%2C+Self+Propelled%2C+Gas+Classen&gs_l=psy-ab.3...11831.13828.0.14135.8.8.0.0.0.0.132.671.6j2.8.0....0...1.1.64.psy-ab..0.0.0.edLpR9gXsVc&safe=active&ssui=on#imgrc=ZqAwCDin8GufZM:,
"Thatcher, Towable, Gas", , ,82,110,,No Image Available,
"Aerator, Plugger, Gas",,43,57,76,Classen,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Aerator%2C+Plugger%2C+Gas&oq=Aerator%2C+Plugger%2C+Gas&gs_l=psy-ab.3...21528.22285.0.22694.2.2.0.0.0.0.150.257.0j2.2.0....0...1.1.64.psy-ab..0.0.0.0.KQDFXZJLK-o&safe=active&ssui=on#imgrc=iV7RsbbsQpKtkM:,
"Aerator,Plugger, Towable", ,30,,30,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Thatcher%2C+Towable%2C+Gas&oq=Thatcher%2C+Towable%2C+Gas&gs_l=psy-ab.3...19165.19426.0.19656.2.2.0.0.0.0.66.128.2.2.0....0...1.1.64.psy-ab..0.0.0.0.SPehnCXFK4U&safe=active&ssui=on#imgrc=AISFuUHI8U80uM:,
"Splitter, Log, Towable, Gas",, ,54,72,Barreto ,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Splitter%2C+Log%2C+Towable%2C+Gas+Barreto&oq=Splitter%2C+Log%2C+Towable%2C+Gas+Barreto&gs_l=psy-ab.3...8251.21744.0.22086.10.9.1.0.0.0.99.670.9.9.0....0...1.1.64.psy-ab..0.0.0.ksRtcOHkH9k&safe=active&ssui=on#imgdii=UvGcnfRmyxfwHM:&imgrc=K1AjjKa9ITGOUM:,
"Power Locate/Underground, Battery ", ,65,,87,McLaughlin,"https://www.google.com/search?q=Power+Locate/Underground,++McLaughlin&source=lnms&tbm=isch&sa=X&ved=0ahUKEwi70d79k4XWAhUE8WMKHV4hBPUQ_AUIDCgD&biw=1920&bih=901&safe=active&ssui=on#imgrc=7NqDslXsvYCGBM:",
,,,,,,"https://www.google.com/search?q=Power+Locate/Underground,++McLaughlin&source=lnms&tbm=isch&sa=X&ved=0ahUKEwi70d79k4XWAhUE8WMKHV4hBPUQ_AUIDCgD&biw=1920&bih=901&safe=active&ssui=on#imgrc=MkDqG3PXpsEMTM:",
Earthmoving and Trenching,,4Hour,,Day,,,
"Trencher, Small, Wheeled 4""x24"", Gas",,97,,130,Barreto,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Trencher%2C+Mid+Size%2C+Wheel%2C+6%22x30%22%2C+Gas&oq=Trencher%2C+Mid+Size%2C+Wheel%2C+6%22x30%22%2C+Gas&gs_l=psy-ab.3...18180.18487.0.18677.2.2.0.0.0.0.78.136.2.2.0....0...1.1.64.psy-ab..0.0.0.0.Etn9wq8Ncj4&safe=active&ssui=on#imgrc=gKKVQJ06KTKg6M:,
"Trencher, Mid Size, Wheel, 6""x30"", Gas",,105,,140,Barreto,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Trencher%2C+Mid+Size%2C+Wheel%2C+6%22x30%22%2C+Gas&oq=Trencher%2C+Mid+Size%2C+Wheel%2C+6%22x30%22%2C+Gas&gs_l=psy-ab.3...18180.18487.0.18677.2.2.0.0.0.0.78.136.2.2.0....0...1.1.64.psy-ab..0.0.0.0.Etn9wq8Ncj4&safe=active&ssui=on#imgdii=MyoYng_WtvCTkM:&imgrc=gKKVQJ06KTKg6M:,
"Trencher, Track, 6""x36"" , Gas",,135,,182,Barreto,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Trencher%2C+Track%2C+6%22x+36%22+%2C+Gas+Barreto&oq=Trencher%2C+Track%2C+6%22x+36%22+%2C+Gas+Barreto&gs_l=psy-ab.3...5756.8120.0.8477.8.8.0.0.0.0.81.563.8.8.0....0...1.1.64.psy-ab..0.0.0.xMzi0fI_gzw&safe=active&ssui=on#imgrc=2xlDSf_NKmpM9M:,
"Trencher attachment, Large, 6""x4'",,150,,150,Bobcat,"https://www.google.com/search?tbm=isch&q=Trencher+attachment,+Large,+6x4%27+bobcat&spell=1&sa=X&ved=0ahUKEwimhNSClYXWAhVP92MKHXSeA6oQBQgiKAA&biw=1920&bih=901&dpr=1&safe=active&ssui=on#imgrc=LHLwDp4_VyQUZM:",
"Trencher Attachment, MT52, 4""x22""",,65,,65,Bobcat,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Trencher+Attachment%2C+MT52%2C+4%22x22%22+bobcat&oq=Trencher+Attachment%2C+MT52%2C+4%22x22%22+bobcat&gs_l=psy-ab.3...14187.18384.0.18677.9.9.0.0.0.0.84.665.9.9.0....0...1.1.64.psy-ab..0.0.0.0.Ipoe_mKBB1E&safe=active&ssui=on#imgrc=GehdvAdeawIpCM:,
"Trencher, 4'x6"" Vermeer riding 3550A",,282,,282,Vermeer,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Vermeer+riding+3550A&oq=Vermeer+riding+3550A&gs_l=psy-ab.3...11782.11782.0.12273.1.1.0.0.0.0.95.95.1.1.0....0...1.1.64.psy-ab..0.0.0.idDPYYEoxfc&safe=active&ssui=on#imgrc=aMKanqCS_W6uoM:,
trench shovel,,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=trench+shovel&oq=trench+shovel&gs_l=psy-ab.3..0l3j0i5i30k1.15015.15415.0.15590.2.2.0.0.0.0.85.145.2.2.0....0...1.1.64.psy-ab..0.1.84.0.mL9hLZndy9Q&safe=active&ssui=on#imgrc=XFCVMbnRQjQzhM:,
"Auger, Manual", ,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Auger+Manual&oq=Auger+Manual&gs_l=psy-ab.3..0j0i8i30k1l3.54012.56026.0.56265.12.12.0.0.0.0.79.835.12.12.0....0...1.1.64.psy-ab..0.12.835...0i67k1j0i10i67k1j0i5i30k1.XBsOdJHE5KM&safe=active&ssui=on#imgrc=4PdzK1DByL8KoM:,
